,years_competed,finish_placements,finish_marks,country
Nina KENNEDY,"['2023', '2022']","['1', '3']","['4.90', '4.80']",AUS
Katie MOON,['2023'],['1'],['4.90'],USA
Wilma MURTO,"['2023', '2022']","['3', '6']","['4.80', '4.60']",FIN
Tina ŠUTEJ,"['2023', '2022']","['4', '4']","['4.80', '4.70']",SLO
Molly CAUDERY,['2023'],['5'],['4.75'],GBR
Angelica MOSER,"['2023', '2022']","['5', '8']","['4.75', '4.60']",SUI
Sandi MORRIS,"['2023', '2022']","['7', '2']","['4.65', '4.85']",USA
Robeilys PEINADO,['2023'],['8'],['4.65'],VEN
Hana MOLL,['2023'],['9'],['4.50'],USA
Elisa MOLINAROLO,['2023'],['9'],['4.50'],ITA
Amálie ŠVÁBÍKOVÁ,['2023'],['11'],['4.50'],CZE
Bridget WILLIAMS,['2023'],['12'],['4.50'],USA
Katie NAGEOTTE,['2022'],['1'],['4.85'],USA
Aikaterini STEFANIDI,['2022'],['5'],['4.70'],GRE
Ling LI,['2022'],['6'],['4.60'],CHN
Anicka NEWELL,['2022'],['9'],['4.45'],CAN
Jacqueline OTCHERE,['2022'],['10'],['4.45'],GER
Ninon CHAPELLE,['2022'],['11'],['4.45'],FRA
Gabriela LEON,['2022'],['12'],['4.30'],USA
Huiqin XU,['2022'],['13'],['4.30'],CHN
Olivia MCTAGGART,['2022'],[''],['NM'],NZL
Margot CHEVRIER,['2022'],[''],['NM'],FRA
Fabiana Murer,"['2011', '2009', '2007']","['1', '5', '6']","['4.85', '4.55', '4.65']",BRA
Martina Strutz,['2011'],['2'],['4.80'],GER
Svetlana Feofanova,"['2011', '2007', '2003', '2001']","['3', '3', '1', '2']","['4.75', '4.75', '4.75', '4.75']",RUS
Jennifer Suhr,"['2011', '2007']","['4', '10']","['4.70', '4.50']",USA
Yarisley Silva,['2011'],['5'],['4.70'],CUB
Elena Isinbaeva,"['2011', '2009', '2007', '2005', '2003']","['6', '', '1', '1', '3']","['4.65', 'NM', '4.80', '5.01', '4.65']",RUS
Jirina Ptácníková,['2011'],['7'],['4.65'],CZE
Nikoleta Kiriakopoulou,['2011'],['8'],['4.65'],GRE
Silke Spiegelburg,"['2011', '2009', '2007']","['9', '4', '']","['4.65', '4.65', 'NM']",GER
Kristina Gadschiew,"['2011', '2009']","['10', '10']","['4.55', '4.40']",GER
Anna Rogowska,"['2011', '2009', '2007', '2005', '2003']","['10', '1', '8', '6', '7']","['4.55', '4.75', '4.60', '4.35', '4.45']",POL
Monika Pyrek,"['2011', '2009', '2007', '2005', '2003', '2001']","['10', '2', '4', '2', '4', '3']","['4.55', '4.65', '4.75', '4.60', '4.55', '4.55']",POL
Chelsea Johnson,['2009'],['2'],['4.65'],USA
Kate Dennison,['2009'],['6'],['4.55'],GBR
Anna Battke,['2009'],['7'],['4.40'],GER
Tatyana Polnova,"['2009', '2007', '2005']","['7', '9', '4']","['4.40', '4.60', '4.50']",RUS
Aleksandra Kiryashova,['2009'],['9'],['4.40'],RUS
Yuliya Golubchikova,"['2009', '2007']","['', '6']","['DNS', '4.65']",RUS
Katerina Badurová,['2007'],['2'],['4.75'],CZE
Vanessa Boslak,"['2007', '2005']","['5', '8']","['4.70', '4.35']",FRA
Kym Howe,['2007'],['11'],['4.50'],AUS
Pavla Rybová,"['2005', '2001', '1999']","['3', '8', '6']","['4.50', '4.45', '4.40']",CZE
Shuying Gao,"['2005', '2003', '2001']","['5', '9', '5']","['4.50', '4.35', '4.50']",CHN
Dana Ellis,['2005'],['6'],['4.35'],CAN
Naroa Agirre,['2005'],['9'],['4.35'],ESP
Carolin Hingst,"['2005', '2001']","['10', '10']","['4.35', '4.25']",GER
Jillian Schwartz,['2005'],['11'],['4.20'],USA
Tatiana Grigorieva,"['2005', '2001', '1999']","['12', '4', '3']","['4.00', '4.55', '4.45']",AUS
Tracy O'Hara,['2005'],[''],['NM'],USA
Annika Becker,['2003'],['2'],['4.70'],GER
Stacy Dragila,"['2003', '2001', '1999']","['4', '1', '1']","['4.55', '4.75', '4.60']",USA
Yvonne Buschbaum,"['2003', '2001', '1999']","['6', '7', '14']","['4.50', '4.45', '4.15']",GER
Yelena Belyakova,"['2003', '1999']","['8', '8']","['4.45', '4.35']",RUS
Mary Sauer Vincent,"['2003', '2001']","['10', '12']","['4.35', '4.25']",USA
Marie Poissonnier,['2003'],[''],['NM'],FRA
Thórey Edda Elisdóttir,"['2003', '2001', '1999']","['', '6', '13']","['NM', '4.45', '4.15']",ISL
Janine Whitlock,['2001'],['9'],['4.35'],GBR
Doris Auer,['2001'],['11'],['4.25'],AUT
Anzhela Balakhonova,['1999'],['2'],['4.55'],UKR
Zsuzsanna Szabó-Olgyai,['1999'],['4'],['4.40'],HUN
Nicole Humbert,['1999'],['5'],['4.40'],GER
Daniela Brecková,['1999'],['6'],['4.40'],CZE
Kellie Suttle,['1999'],['9'],['4.35'],USA
Elmarie Gerryts,['1999'],['10'],['4.25'],RSA
Alejandra García,['1999'],['11'],['4.25'],ARG
Vala Flosadóttir,['1999'],['12'],['4.25'],ISL
Emma George,['1999'],['14'],['4.15'],AUS
Dana Cervantes,['1999'],['14'],['4.15'],ESP
Melissa Price,['1999'],[''],['NM'],USA
Nastja Ryjikh-Reiberger,['1999'],[''],['NM'],GER
